customer_id,name,revenue,age,revenue_zscore,is_outlier_iqr_revenue,revenue_capped,age_zscore,is_outlier_iqr_age,age_capped,is_outlier
1,Alice,450.0,28,0.41335694096714826,False,450.0,0.5207908253770895,False,28.0,False
2,Bob,520.5,34,0.4086155293082071,False,520.5,0.35972149794087627,False,34.0,False
3,Charlie,50000.0,42,2.9190820335084946,True,594.75,0.1449623946925919,False,42.0,True
4,Diana,480.25,155,0.411322505468099,False,480.25,2.8885099386894244,True,58.625,True
5,Evan,510.0,31,0.409321697002092,False,510.0,0.4402561616589829,False,31.0,False
6,Fiona,490.75,29,0.4106163377742142,False,490.75,0.493945937471054,False,29.0,False
7,George,530.0,62,0.40797661568040655,False,530.0,0.391935363428119,True,58.625,True
8,Hannah,475.5,25,0.41164196228199934,False,475.5,0.6013254890951961,False,25.0,False
9,Ian,12000.0,38,0.36342752230618525,True,594.75,0.25234194631673407,False,38.0,True
10,Julia,505.0,30,0.4096579673325133,False,505.0,0.46710104956501847,False,30.0,False
